vgs	Id(M2)	sqrt(Id(M2))
Step Information: Vds=300m  (Run: 1/6)
1.020000000000001e-001	6.959740e-009	8.342506e-005
1.030000000000001e-001	7.168885e-009	8.466927e-005
1.040000000000001e-001	7.384206e-009	8.593140e-005
1.050000000000001e-001	7.605882e-009	8.721171e-005
1.060000000000001e-001	7.834096e-009	8.851043e-005
1.070000000000001e-001	8.069035e-009	8.982781e-005
1.080000000000001e-001	8.310892e-009	9.116410e-005
1.090000000000001e-001	8.559866e-009	9.251954e-005
1.100000000000001e-001	8.816159e-009	9.389441e-005
1.110000000000001e-001	9.079981e-009	9.528894e-005
1.120000000000001e-001	9.351548e-009	9.670340e-005
1.130000000000001e-001	9.631079e-009	9.813806e-005
1.140000000000001e-001	9.918802e-009	9.959318e-005
1.150000000000001e-001	1.021495e-008	1.010690e-004
1.160000000000001e-001	1.051976e-008	1.025659e-004
1.170000000000001e-001	1.083348e-008	1.040840e-004
1.180000000000001e-001	1.115636e-008	1.056237e-004
1.190000000000001e-001	1.148867e-008	1.071852e-004
1.200000000000001e-001	1.183066e-008	1.087688e-004
1.210000000000001e-001	1.218261e-008	1.103749e-004
1.220000000000001e-001	1.254480e-008	1.120036e-004
1.230000000000001e-001	1.291752e-008	1.136553e-004
1.240000000000001e-001	1.330107e-008	1.153303e-004
1.250000000000001e-001	1.369575e-008	1.170288e-004
1.260000000000001e-001	1.410187e-008	1.187513e-004
1.270000000000001e-001	1.451975e-008	1.204979e-004
1.280000000000001e-001	1.494972e-008	1.222691e-004
1.290000000000001e-001	1.539212e-008	1.240650e-004
1.300000000000001e-001	1.584729e-008	1.258860e-004
1.310000000000001e-001	1.631559e-008	1.277325e-004
1.320000000000001e-001	1.679739e-008	1.296047e-004
1.330000000000001e-001	1.729305e-008	1.315031e-004
1.340000000000001e-001	1.780297e-008	1.334278e-004
1.350000000000001e-001	1.832753e-008	1.353792e-004
1.360000000000001e-001	1.886715e-008	1.373577e-004
1.370000000000001e-001	1.942222e-008	1.393636e-004
1.380000000000001e-001	1.999319e-008	1.413973e-004
1.390000000000001e-001	2.058049e-008	1.434590e-004
1.400000000000001e-001	2.118456e-008	1.455492e-004
1.410000000000001e-001	2.180587e-008	1.476681e-004
1.420000000000001e-001	2.244489e-008	1.498162e-004
1.430000000000001e-001	2.310209e-008	1.519937e-004
1.440000000000001e-001	2.377798e-008	1.542011e-004
1.450000000000001e-001	2.447306e-008	1.564387e-004
1.460000000000001e-001	2.518785e-008	1.587068e-004
1.470000000000001e-001	2.592289e-008	1.610059e-004
1.480000000000001e-001	2.667873e-008	1.633363e-004
1.490000000000001e-001	2.745593e-008	1.656983e-004
1.500000000000001e-001	2.825506e-008	1.680924e-004
1.510000000000001e-001	2.907671e-008	1.705189e-004
1.520000000000001e-001	2.992148e-008	1.729783e-004
1.530000000000001e-001	3.079001e-008	1.754708e-004
1.540000000000001e-001	3.168292e-008	1.779970e-004
1.550000000000001e-001	3.260086e-008	1.805571e-004
1.560000000000001e-001	3.354451e-008	1.831516e-004
1.570000000000001e-001	3.451453e-008	1.857809e-004
1.580000000000001e-001	3.551164e-008	1.884453e-004
1.590000000000001e-001	3.653655e-008	1.911454e-004
1.600000000000001e-001	3.759000e-008	1.938814e-004
1.610000000000001e-001	3.867274e-008	1.966539e-004
1.620000000000001e-001	3.978554e-008	1.994631e-004
1.630000000000001e-001	4.092918e-008	2.023096e-004
1.640000000000001e-001	4.210449e-008	2.051938e-004
1.650000000000001e-001	4.331228e-008	2.081160e-004
1.660000000000001e-001	4.455341e-008	2.110768e-004
1.670000000000001e-001	4.582874e-008	2.140765e-004
1.680000000000001e-001	4.713916e-008	2.171155e-004
1.690000000000001e-001	4.848558e-008	2.201944e-004
1.700000000000001e-001	4.986894e-008	2.233135e-004
1.710000000000001e-001	5.129018e-008	2.264734e-004
1.720000000000001e-001	5.275029e-008	2.296743e-004
1.730000000000001e-001	5.425025e-008	2.329168e-004
1.740000000000001e-001	5.579111e-008	2.362014e-004
1.750000000000001e-001	5.737389e-008	2.395285e-004
1.760000000000001e-001	5.899967e-008	2.428985e-004
1.770000000000001e-001	6.066954e-008	2.463119e-004
1.780000000000001e-001	6.238464e-008	2.497692e-004
1.790000000000001e-001	6.414609e-008	2.532708e-004
1.800000000000001e-001	6.595508e-008	2.568172e-004
1.810000000000001e-001	6.781280e-008	2.604089e-004
1.820000000000001e-001	6.972048e-008	2.640464e-004
1.830000000000001e-001	7.167937e-008	2.677300e-004
1.840000000000001e-001	7.369076e-008	2.714604e-004
1.850000000000001e-001	7.575595e-008	2.752380e-004
1.860000000000001e-001	7.787629e-008	2.790632e-004
1.870000000000001e-001	8.005315e-008	2.829367e-004
1.880000000000001e-001	8.228793e-008	2.868587e-004
1.890000000000001e-001	8.458205e-008	2.908299e-004
1.900000000000001e-001	8.693699e-008	2.948508e-004
1.910000000000001e-001	8.935425e-008	2.989218e-004
1.920000000000001e-001	9.183535e-008	3.030435e-004
1.930000000000001e-001	9.438185e-008	3.072163e-004
1.940000000000001e-001	9.699534e-008	3.114408e-004
1.950000000000002e-001	9.967748e-008	3.157174e-004
1.960000000000002e-001	1.024299e-007	3.200467e-004
1.970000000000002e-001	1.052543e-007	3.244292e-004
1.980000000000002e-001	1.081525e-007	3.288655e-004
1.990000000000002e-001	1.111262e-007	3.333559e-004
2.000000000000002e-001	1.141772e-007	3.379012e-004
2.010000000000002e-001	1.173074e-007	3.425017e-004
2.020000000000002e-001	1.205187e-007	3.471580e-004
2.030000000000002e-001	1.238130e-007	3.518707e-004
2.040000000000002e-001	1.271922e-007	3.566402e-004
2.050000000000002e-001	1.306585e-007	3.614671e-004
2.060000000000002e-001	1.342138e-007	3.663520e-004
2.070000000000002e-001	1.378603e-007	3.712954e-004
2.080000000000002e-001	1.416001e-007	3.762978e-004
2.090000000000002e-001	1.454353e-007	3.813598e-004
2.100000000000002e-001	1.493683e-007	3.864819e-004
2.110000000000002e-001	1.534012e-007	3.916647e-004
2.120000000000002e-001	1.575365e-007	3.969087e-004
2.130000000000002e-001	1.617765e-007	4.022144e-004
2.140000000000002e-001	1.661235e-007	4.075825e-004
2.150000000000002e-001	1.705802e-007	4.130135e-004
2.160000000000002e-001	1.751489e-007	4.185080e-004
2.170000000000002e-001	1.798324e-007	4.240665e-004
2.180000000000002e-001	1.846331e-007	4.296895e-004
2.190000000000002e-001	1.895537e-007	4.353777e-004
2.200000000000002e-001	1.945971e-007	4.411316e-004
2.210000000000002e-001	1.997659e-007	4.469518e-004
2.220000000000002e-001	2.050631e-007	4.528389e-004
2.230000000000002e-001	2.104915e-007	4.587935e-004
2.240000000000002e-001	2.160539e-007	4.648160e-004
2.250000000000002e-001	2.217536e-007	4.709072e-004
2.260000000000002e-001	2.275935e-007	4.770676e-004
2.270000000000002e-001	2.335767e-007	4.832977e-004
2.280000000000002e-001	2.397065e-007	4.895983e-004
2.290000000000002e-001	2.459860e-007	4.959698e-004
2.300000000000002e-001	2.524186e-007	5.024128e-004
2.310000000000002e-001	2.590077e-007	5.089280e-004
2.320000000000002e-001	2.657567e-007	5.155159e-004
2.330000000000002e-001	2.726690e-007	5.221772e-004
2.340000000000002e-001	2.797484e-007	5.289124e-004
2.350000000000002e-001	2.869983e-007	5.357222e-004
2.360000000000002e-001	2.944226e-007	5.426072e-004
2.370000000000002e-001	3.020249e-007	5.495679e-004
2.380000000000002e-001	3.098092e-007	5.566051e-004
2.390000000000002e-001	3.177793e-007	5.637192e-004
2.400000000000002e-001	3.259393e-007	5.709109e-004
2.410000000000002e-001	3.342931e-007	5.781809e-004
2.420000000000002e-001	3.428451e-007	5.855297e-004
2.430000000000002e-001	3.515992e-007	5.929580e-004
2.440000000000002e-001	3.605600e-007	6.004665e-004
2.450000000000002e-001	3.697316e-007	6.080556e-004
2.460000000000002e-001	3.791187e-007	6.157261e-004
2.470000000000002e-001	3.887256e-007	6.234786e-004
2.480000000000002e-001	3.985571e-007	6.313138e-004
2.490000000000002e-001	4.086179e-007	6.392322e-004
2.500000000000002e-001	4.189126e-007	6.472346e-004
2.510000000000002e-001	4.294462e-007	6.553215e-004
2.520000000000002e-001	4.402237e-007	6.634936e-004
2.530000000000002e-001	4.512501e-007	6.717515e-004
2.540000000000002e-001	4.625305e-007	6.800959e-004
2.550000000000002e-001	4.740702e-007	6.885275e-004
2.560000000000002e-001	4.858744e-007	6.970469e-004
2.570000000000002e-001	4.979486e-007	7.056548e-004
2.580000000000002e-001	5.102984e-007	7.143517e-004
2.590000000000002e-001	5.229293e-007	7.231385e-004
2.600000000000002e-001	5.358469e-007	7.320157e-004
2.610000000000002e-001	5.490572e-007	7.409840e-004
2.620000000000002e-001	5.625660e-007	7.500440e-004
2.630000000000002e-001	5.763794e-007	7.591965e-004
2.640000000000002e-001	5.905034e-007	7.684422e-004
2.650000000000002e-001	6.049442e-007	7.777816e-004
